Date,Open,High,Low,Close,Adj Close,Volume
2000-03-27,153.375,153.78125,151.8125,151.9375,99.44197082519531,8798600
2000-03-28,151.25,152.984375,150.59375,151.0625,98.86927032470703,6334400
2000-03-29,151.5625,152.484375,149.65625,151.21875,98.97151947021484,6747500
2000-03-30,150.15625,151.921875,147.125,148.6875,97.31481170654297,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,98.4193115234375,9249100
2000-04-03,150.125,151.25,148.6875,151.25,98.99203491210938,8508200
2000-04-04,151.75,153.0,141.390625,150.125,98.25568389892578,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,97.64208984375,8387200
2000-04-06,150.25,151.6875,149.0,150.484375,98.4909439086914,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,99.1147689819336,6023600
2000-04-10,151.75,153.109375,150.3125,150.84375,98.72612762451172,9624200
2000-04-11,150.0,151.625,148.375,150.40625,98.4397201538086,9006400
2000-04-12,150.375,151.15625,146.15625,146.28125,95.739990234375,10779200
2000-04-13,147.46875,148.15625,143.78125,144.25,94.41059875488281,12225800
2000-04-14,142.625,142.8125,133.5,136.0,89.0110092163086,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,92.11978149414062,23918200
2000-04-18,140.5625,144.46875,139.78125,144.46875,94.55371856689453,11069200
2000-04-19,144.5,145.125,142.53125,143.125,93.67422485351562,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,94.12418365478516,8537600
2000-04-24,141.5,143.3125,140.5,142.25,93.1015625,12893100
2000-04-25,144.625,148.15625,144.4375,148.15625,96.96717834472656,14102000
2000-04-26,147.96875,148.75,146.0,146.484375,95.87293243408203,7711100
2000-04-27,143.0,147.34375,143.0,146.0,95.55587768554688,15595300
2000-04-28,147.0,147.859375,145.0625,145.09375,94.96273040771484,8743400
2000-05-01,146.5625,148.484375,145.84375,147.0625,96.25130462646484,7328300
2000-05-02,145.5,147.125,144.125,144.125,94.32872772216797,9411900
2000-05-03,144.0,144.0,139.78125,140.75,92.11978149414062,12630700
2000-05-04,142.0,142.359375,140.75,141.8125,92.815185546875,5963600
2000-05-05,141.0625,144.0,140.9375,143.53125,93.94017028808594,7862400
2000-05-08,142.75,143.375,141.84375,142.453125,93.23451232910156,5064100
