Date,CL,COST,GIS,HSY,KMB,KO,MDLZ,MNST,PEP,WMT
2018-03-27,61.43054962158203,171.13340759277344,38.00679016113281,87.85354614257812,90.92211151123047,36.62553787231445,36.59604263305664,28.125,93.0923080444336,78.6764907836914
2018-03-28,62.77831268310547,171.563232421875,37.20151901245117,88.26679992675781,92.57986450195312,36.992740631103516,36.506103515625,28.1200008392334,94.42418670654297,80.24910736083984
2018-03-29,63.558631896972656,176.06700134277344,37.79707336425781,88.90464782714844,93.14654541015625,37.086673736572266,37.531402587890625,28.604999542236328,94.39823150634766,81.34626770019531
2018-04-02,62.20197296142578,170.75965881347656,36.98342514038086,87.17975616455078,90.57534790039062,36.43768310546875,36.61402893066406,27.809999465942383,92.58204650878906,78.21934509277344
2018-04-03,62.911312103271484,170.62887573242188,37.159576416015625,87.87151336669922,91.2435302734375,37.04397964477539,37.036746978759766,27.864999771118164,93.5679702758789,79.36223602294922
2018-04-04,63.532005310058594,173.3479461669922,38.05710983276367,90.37801361083984,92.43609619140625,37.77836608886719,37.83719253540039,28.385000228881836,95.28901672363281,79.74622344970703
2018-04-05,63.673885345458984,174.02999877929688,38.10744094848633,89.56947326660156,92.53756713867188,37.91499710083008,37.95410919189453,28.704999923706055,95.6263198852539,80.28567504882812
2018-04-06,63.52315139770508,171.89027404785156,38.1409912109375,88.80583953857422,91.85247039794922,37.50510025024414,37.30655288696289,27.96500015258789,94.52796936035156,79.26165771484375
2018-04-09,63.328086853027344,172.31076049804688,38.11555480957031,89.2640151977539,91.64949798583984,37.42825698852539,37.48643112182617,28.114999771118164,94.59712982177734,78.88677215576172
2018-04-10,63.602962493896484,171.50721740722656,37.74245071411133,86.11964416503906,91.7425308227539,37.56488037109375,37.5403938293457,28.15999984741211,94.61444854736328,79.0422134399414
2018-04-11,63.29261779785156,172.53500366210938,38.04771423339844,86.8293685913086,91.16739654541016,37.56488037109375,37.621337890625,28.110000610351562,93.99174499511719,78.54850006103516
2018-04-12,62.902469635009766,176.43141174316406,37.801822662353516,85.859130859375,89.78876495361328,37.59903335571289,37.80121994018555,28.264999389648438,93.67174530029297,78.109619140625
2018-04-13,63.4876823425293,176.5155029296875,37.988365173339844,86.20948791503906,89.51809692382812,38.00893020629883,37.855186462402344,28.34000015258789,94.49335479736328,78.64906311035156
2018-04-16,64.2325210571289,181.8134765625,38.3614616394043,86.9641342163086,90.33851623535156,38.15410232543945,37.9810905456543,28.489999771118164,95.06416320800781,79.3988037109375
2018-04-17,64.04631042480469,183.14035034179688,38.378421783447266,86.87429809570312,90.16091918945312,38.32489776611328,37.693294525146484,28.84000015258789,94.15606689453125,80.36798095703125
2018-04-18,63.91331100463867,183.6168975830078,37.92900466918945,85.65247344970703,90.10169982910156,38.00893020629883,37.7652473449707,28.735000610351562,92.52151489257812,80.06623077392578
2018-04-19,62.22761535644531,182.27137756347656,37.335426330566406,84.05335235595703,87.40364837646484,37.83814239501953,36.88384246826172,28.655000686645508,91.30207061767578,80.35881805419922
2018-04-20,60.220855712890625,180.86041259765625,36.809696197509766,83.08311462402344,84.60408782958984,37.35139465332031,36.07440185546875,28.25,88.62969970703125,79.52679443359375
2018-04-23,59.19517517089844,180.6642303466797,37.784847259521484,83.71197509765625,83.32694244384766,37.55634689331055,36.290252685546875,28.434999465942383,88.71617889404297,78.72220611572266
2018-04-24,59.42705154418945,179.87933349609375,37.62373733520508,83.34362030029297,84.91704559326172,36.779258728027344,35.76860427856445,27.864999771118164,87.7302474975586,79.1153793334961
2018-04-25,59.2308464050293,181.24354553222656,37.34391784667969,84.03539276123047,86.5240249633789,36.232730865478516,35.687660217285156,27.204999923706055,87.47943115234375,79.70050811767578
2018-04-26,59.3913688659668,182.44891357421875,37.62373733520508,83.810791015625,86.85388946533203,36.50598907470703,35.76860427856445,27.549999237060547,89.30427551269531,80.40454864501953
2018-04-27,59.38246536254883,183.68226623535156,37.75093460083008,83.89164733886719,88.39321899414062,36.98420333862305,35.912506103515625,28.094999313354492,87.96376037597656,79.81024169921875
2018-04-30,58.17841720581055,184.22425842285156,37.08953094482422,82.59795379638672,87.57279205322266,36.89879608154297,35.52577209472656,27.5,87.29782104492188,80.8799819946289
2018-05-01,57.973270416259766,183.6542510986328,36.92841720581055,82.04097747802734,87.29369354248047,36.36935806274414,35.06708526611328,27.600000381469727,85.73246002197266,79.91995239257812
2018-05-02,56.3143424987793,181.2715606689453,36.02958679199219,80.44181823730469,85.48371887207031,35.91677474975586,34.07775115966797,26.360000610351562,84.08924102783203,78.94163513183594
2018-05-03,56.47488784790039,180.3465118408203,34.9442024230957,80.58556365966797,86.56629943847656,35.77159881591797,33.78995132446289,26.155000686645508,84.40921020507812,78.84105682373047
2018-05-04,56.822731018066406,182.38348388671875,36.07198715209961,82.45420837402344,87.73348999023438,36.17294692993164,34.986148834228516,26.3799991607666,85.61136627197266,80.0296859741211
2018-05-07,56.0289306640625,180.39324951171875,35.90239334106445,82.34642028808594,87.25141143798828,35.98509979248047,34.797264099121094,26.655000686645508,84.95408630371094,78.14618682861328
2018-05-08,55.547306060791016,181.72007751464844,35.868465423583984,82.78663635253906,86.14342498779297,35.703285217285156,34.69833755493164,26.540000915527344,83.70869445800781,78.39305114746094
2018-05-09,55.21730041503906,183.177734375,36.046546936035156,83.19988250732422,87.16681671142578,35.67766571044922,34.86921691894531,24.55500030517578,83.16384887695312,75.94268798828125
